Rk,Player,Age,Team,Pos,G,GS,MP,FG%,2P%,3P%,eFG%,FT%,TS%,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add,Awards,-9999
320,Jabari Walker,22,POR,SF,60,1,749,.515,.573,.389,.576,.690,.601,.310,.314,110,105,108,106,88,104,128,75,15.3,13.1,,walkeja01
321,Jay Huff,26,MEM,C,64,2,748,.515,.724,.405,.648,.786,.666,.184,.656,110,133,112,119,101,116,76,156,63.7,59.1,,huffja01
322,Drew Eubanks,27,2TM,C,61,4,746,.593,.596,.500,.601,.662,.622,.366,.031,127,109,139,111,85,108,151,7,22.3,20.4,,eubandr01
322,Drew Eubanks,27,UTA,C,37,4,568,.607,.607,.600,.617,.632,.632,.393,.034,130,111,167,114,81,110,162,8,21.5,19.0,,eubandr01
322,Drew Eubanks,27,LAC,C,24,0,178,.551,.563,.000,.551,.786,.589,.286,.020,118,103,0,101,101,102,118,5,0.8,1.4,,eubandr01
323,Talen Horton-Tucker,24,CHI,SG,58,0,724,.457,.544,.336,.527,.735,.567,.337,.419,98,100,93,97,94,98,139,100,-9.1,-6.0,,hortota01
324,Gary Harris,30,ORL,SG,48,3,711,.383,.469,.356,.519,.583,.524,.090,.759,82,86,99,96,75,91,37,180,-6.5,-14.4,,harriga01
325,Micah Potter,26,UTA,C,38,10,705,.422,.703,.316,.537,.850,.563,.148,.726,90,129,88,99,109,98,61,172,-1.6,-3.7,,pottemi01
326,Jett Howard,21,ORL,SF,60,0,701,.374,.566,.296,.479,.696,.491,.088,.710,80,104,82,88,89,85,36,169,-33.6,-46.6,,howarje01
327,DeAndre Jordan,36,DEN,C,56,5,691,.650,.650,,.650,.422,.621,.457,.000,139,119,,120,54,108,188,0,29.9,15.2,,jordade01
328,Quinten Post,24,GSW,PF,42,14,686,.449,.526,.408,.582,.778,.595,.099,.653,96,97,113,107,100,103,41,155,21.4,10.6,,postqu01
329,Blake Wesley,21,SAS,SG,58,0,683,.435,.500,.293,.481,.623,.510,.328,.312,93,92,81,89,80,88,135,74,-23.0,-28.3,,weslebl01
