,Player,Age,Team,Pos,G,GS,MP,FG%,2P%,3P%,eFG%,FT%,TS%,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add,YearSalary
202,Jeremy Sochan,21,SAS,PF,54,23,1364,0.535,0.59,0.308,0.565,0.696,0.589,0.267,0.194,115.0,108.0,85.0,104.0,89.0,102.0,110.0,46.0,20.6,13.2,5570040.0
203,Luke Kornet,29,BOS,C,73,16,1361,0.668,0.675,0.0,0.668,0.691,0.683,0.346,0.011,143.0,124.0,0.0,123.0,89.0,119.0,143.0,3.0,69.9,69.2,2087519.0
204,Trey Lyles,29,SAC,PF,69,5,1349,0.42,0.559,0.34,0.528,0.7,0.551,0.214,0.636,90.0,103.0,94.0,97.0,90.0,96.0,88.0,151.0,-11.2,-20.6,8000000.0
205,Jake LaRavia,23,2TM,PF,66,0,1349,0.475,0.513,0.423,0.564,0.678,0.591,0.341,0.421,102.0,94.0,117.0,104.0,87.0,103.0,141.0,100.0,13.9,11.3,3352680.0
206,Bogdan Bogdanović,32,2TM,SG,54,4,1348,0.427,0.517,0.363,0.534,0.879,0.559,0.134,0.587,91.0,95.0,101.0,98.0,113.0,97.0,55.0,139.0,-9.4,-17.5,17260000.0
207,Justin Champagnie,23,WAS,SF,62,31,1340,0.511,0.624,0.383,0.601,0.685,0.614,0.178,0.47,109.0,114.0,106.0,111.0,88.0,107.0,73.0,111.0,47.6,33.4,1800000.0
208,Paul George,34,PHI,PF,41,41,1334,0.43,0.493,0.358,0.514,0.814,0.543,0.17,0.47,92.0,91.0,99.0,95.0,104.0,94.0,70.0,112.0,-33.1,-41.0,49205800.0
209,Ausar Thompson,22,DET,SF,59,48,1328,0.535,0.572,0.224,0.547,0.641,0.568,0.309,0.107,114.0,105.0,62.0,101.0,82.0,99.0,127.0,25.0,3.4,-8.1,8376000.0
210,Donovan Clingan,20,POR,C,67,37,1324,0.539,0.582,0.286,0.56,0.596,0.574,0.311,0.147,115.0,107.0,79.0,103.0,76.0,100.0,128.0,35.0,11.2,-1.6,6836400.0
211,Jordan Hawkins,22,NOP,SG,56,9,1321,0.372,0.433,0.331,0.471,0.816,0.504,0.176,0.597,80.0,79.0,92.0,87.0,105.0,87.0,73.0,142.0,-79.9,-86.4,4525680.0
